,ResponseId,MainBranch,Age,Employment,RemoteWork,Check,CodingActivities,EdLevel,LearnCode,LearnCodeOnline,TechDoc,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,BuyNewTool,BuildvsBuy,TechEndorse,Country,Currency,CompTotal,LanguageHaveWorkedWith,LanguageWantToWorkWith,LanguageAdmired,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,DatabaseAdmired,PlatformHaveWorkedWith,PlatformWantToWorkWith,PlatformAdmired,WebframeHaveWorkedWith,WebframeWantToWorkWith,WebframeAdmired,EmbeddedHaveWorkedWith,EmbeddedWantToWorkWith,EmbeddedAdmired,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,MiscTechAdmired,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,ToolsTechAdmired,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,NEWCollabToolsAdmired,OpSysPersonal use,OpSysProfessional use,OfficeStackAsyncHaveWorkedWith,OfficeStackAsyncWantToWorkWith,OfficeStackAsyncAdmired,OfficeStackSyncHaveWorkedWith,OfficeStackSyncWantToWorkWith,OfficeStackSyncAdmired,AISearchDevHaveWorkedWith,AISearchDevWantToWorkWith,AISearchDevAdmired,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOHow,SOComm,AISelect,AISent,AIBen,AIAcc,AIComplex,AIToolCurrently Using,AIToolInterested in Using,AIToolNot interested in Using,AINextMuch more integrated,AINextNo change,AINextMore integrated,AINextLess integrated,AINextMuch less integrated,AIThreat,AIEthics,AIChallenges,TBranch,ICorPM,WorkExp,Knowledge_1,Knowledge_2,Knowledge_3,Knowledge_4,Knowledge_5,Knowledge_6,Knowledge_7,Knowledge_8,Knowledge_9,Frequency_1,Frequency_2,Frequency_3,TimeSearching,TimeAnswering,Frustration,ProfessionalTech,ProfessionalCloud,ProfessionalQuestion,Industry,JobSatPoints_1,JobSatPoints_4,JobSatPoints_5,JobSatPoints_6,JobSatPoints_7,JobSatPoints_8,JobSatPoints_9,JobSatPoints_10,JobSatPoints_11,SurveyLength,SurveyEase,ConvertedCompYearly,JobSat
52293,52294,I am a developer by profession,25-34 years old,"Employed, full-time",Remote,Apples,Hobby;Professional development or self-paced learning from online courses,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;Colleague;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc);Online Courses or Certification;Coding Bootcamp",Technical documentation;Books;Written Tutorials;Stack Overflow;Certification videos,API document(s) and/or SDK document(s);Traditional public search engine;AI-powered search/dev tool (paid),18,12,"Developer, back-end","1,000 to 4,999 employees",I have little or no influence,Start a free trial;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd,Is ready-to-go but also customizable for growth and targeted use cases,APIs;Customization;Integrated developer community;Quality support system;Reputation for quality and excellence;Frequent updates to features,Ukraine,USD	United States dollar,61000.0,C#;HTML/CSS;JavaScript;SQL;TypeScript,C#;HTML/CSS;JavaScript;SQL;TypeScript,C#;HTML/CSS;JavaScript;SQL;TypeScript,Cosmos DB;Elasticsearch;Microsoft SQL Server;MongoDB;Redis,Cosmos DB;Elasticsearch;Microsoft SQL Server;MongoDB;Redis,Cosmos DB;Elasticsearch;Microsoft SQL Server;MongoDB;Redis,Amazon Web Services (AWS);Microsoft Azure,Amazon Web Services (AWS);Microsoft Azure,Amazon Web Services (AWS);Microsoft Azure,ASP.NET;ASP.NET CORE;jQuery;Vue.js,ASP.NET;ASP.NET CORE;Next.js;React;Vue.js,ASP.NET;ASP.NET CORE;Vue.js,,,,.NET (5+) ;.NET Framework (1.0 - 4.8),.NET (5+) ,.NET (5+) ,Chocolatey;Docker;Kubernetes;MSBuild;NuGet;Terraform,Docker;Kubernetes;MSBuild;NuGet;Terraform,Docker;Kubernetes;MSBuild;NuGet;Terraform,Rider;Visual Studio;Visual Studio Code,Rider;Visual Studio Code,Rider;Visual Studio Code,Windows,Windows,Azure Devops;Jira;Lucid,Azure Devops;Jira,Azure Devops;Jira,Microsoft Teams;Skype;Telegram,Microsoft Teams,Microsoft Teams,GitHub Copilot,GitHub Copilot,GitHub Copilot,Stack Overflow;Stack Exchange,A few times per week,Not sure/can't remember,,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Showcase expertise with code solutions;Learning new-to-me technology/techniques,"Yes, somewhat",Yes,Favorable,Increase productivity,Somewhat trust,Neither good or bad at handling complex tasks,Writing code;Documenting code;Testing code;Search for answers;Generating content or synthetic data,Learning about a codebase;Debugging and getting help;Predictive analytics,Project planning;Committing and reviewing code;Deployment and monitoring,Documenting code,,Writing code;Testing code;Search for answers;Generating content or synthetic data,,,Yes,Missing or incorrect attribution for sources of data;Replacing jobs without options for new employment opportunities;Biased results that do not represent diverse viewpoints,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge;Not everyone uses them;We don’t have the right policies in place to reduce security risks",Yes,Individual contributor,12.0,Agree,Disagree,Agree,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,1-2 times a week,1-2 times a week,Never,15-30 minutes a day,15-30 minutes a day,None of these,DevOps function;Automated testing;Observability tools;AI-assisted technology tool(s);Microservices;Continuous integration (CI) and (more often) continuous delivery;Innersource initiative,Cloud only (single or multi-cloud),Traditional public search engine,Software Development,0.0,0.0,5.0,60.0,15.0,5.0,0.0,10.0,5.0,Appropriate in length,Easy,,8.0
21097,21098,I am a developer by profession,25-34 years old,"Employed, full-time",Remote,Apples,Bootstrapping a business;Professional development or self-paced learning from online courses,Some college/university study without earning a degree,"Books / Physical media;Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification","Technical documentation;Blogs;Books;Written Tutorials;Stack Overflow;How-to videos;Interactive tutorial;Video-based Online Courses;Written-based Online Courses;Certification videos;Online challenges (e.g., daily or weekly coding challenges)",API document(s) and/or SDK document(s),5,3,"Developer, full-stack","1,000 to 4,999 employees",I have a great deal of influence,Start a free trial,Is set up to be customized and needs to be engineered into a usable product,APIs;Customization;Quality support system;Reputation for quality and excellence,United States of America,USD	United States dollar,101000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python,TypeScript,,EventStoreDB;MongoDB,,,Amazon Web Services (AWS);Cloudflare;Heroku;Microsoft Azure;VMware,,,Express;Next.js;Node.js;React,,,,,,,,,Ansible;Docker;Homebrew;Kubernetes;npm;Pip;Terraform,,,PhpStorm;Sublime Text;Vim;Visual Studio Code;WebStorm,,,,MacOS,Basecamp,,,,,,,,,Stack Overflow,Daily or almost daily,Yes,Less than once per month or monthly,Quickly finding code solutions,"No, not really","No, and I don't plan to",,,,,,,,,,,,,,,,Yes,Individual contributor,19.0,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Strongly disagree,Never,1-2 times a week,1-2 times a week,Less than 15 minutes a day,Less than 15 minutes a day,Amount of technical debt;Maintaining security of code being produced;Patching/updating core components;Maintaining security of systems/platforms used in work,DevOps function;Knowledge sharing community;Microservices;Innersource initiative,Hybrid (on-prem and cloud),Traditional public search engine,Other:,10.0,0.0,10.0,20.0,20.0,20.0,20.0,0.0,0.0,Appropriate in length,Easy,101000.0,6.0
12631,12632,I am a developer by profession,25-34 years old,"Employed, full-time",Remote,Apples,Hobby;Professional development or self-paced learning from online courses,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc);Online Courses or Certification","Technical documentation;Blogs;Books;Written Tutorials;Stack Overflow;Social Media;How-to videos;Interactive tutorial;Video-based Online Courses;Written-based Online Courses;Certification videos;Auditory material (e.g., podcasts)",API document(s) and/or SDK document(s);User guides or README files found in the source repository;Traditional public search engine;AI-powered search/dev tool (free),9,7,"Developer, back-end","10,000 or more employees",I have little or no influence,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd,Is ready-to-go but also customizable for growth and targeted use cases,Integrated developer community;Quality support system;AI tool integration;Reputation for quality and excellence;Frequent updates to features;Connected to an open source project,Ukraine,UAH	Ukrainian hryvnia,,Go;PHP,Go,Go,,,,Amazon Web Services (AWS),Amazon Web Services (AWS),Amazon Web Services (AWS),,,,,,,,,,Docker;Kubernetes;Make;Podman,Docker;Kubernetes;Make;Podman,Docker;Kubernetes;Make;Podman,Goland;Vim;Visual Studio Code,Goland;Vim;Visual Studio Code,Goland;Vim;Visual Studio Code,MacOS,MacOS,Jira,Jira,Jira,Microsoft Teams;Telegram,Microsoft Teams;Telegram,Microsoft Teams;Telegram,ChatGPT;GitHub Copilot,ChatGPT;GitHub Copilot,ChatGPT;GitHub Copilot,Stack Overflow;Stack Exchange,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,Quickly finding code solutions;Finding reliable guidance from community-vetted answers,"No, not really",Yes,Very favorable,Increase productivity;Greater efficiency,Somewhat trust,Bad at handling complex tasks,Writing code;Search for answers,Learning about a codebase;Project planning;Documenting code;Debugging and getting help;Testing code;Committing and reviewing code;Deployment and monitoring;Predictive analytics;Generating content or synthetic data,,,,Writing code;Search for answers,,,I'm not sure,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Replacing jobs without options for new employment opportunities;Biased results that do not represent diverse viewpoints;Energy demand,,Yes,Individual contributor,7.0,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Agree,Agree,1-2 times a week,1-2 times a week,1-2 times a week,30-60 minutes a day,30-60 minutes a day,None of these,Knowledge sharing community;AI-assisted technology tool(s);Developer portal or other central places to find tools/services,Cloud only (single or multi-cloud),AI-powered search (free),Software Development,7.0,10.0,9.0,7.0,8.0,6.0,7.0,10.0,10.0,Appropriate in length,Easy,,8.0
22354,22355,I am a developer by profession,25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Apples,Hobby;School or academic work;Professional development or self-paced learning from online courses,Some college/university study without earning a degree,"On the job training;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc)","Technical documentation;Blogs;Written Tutorials;Stack Overflow;Social Media;Online challenges (e.g., daily or weekly coding challenges)",API document(s) and/or SDK document(s);Traditional public search engine,7,2,"Developer, full-stack",20 to 99 employees,I have some influence,Start a free trial;Visit developer communities like Stack Overflow;Other (please specify):,Is ready-to-go but also customizable for growth and targeted use cases,APIs;Customization;Reputation for quality and excellence;Frequent updates to features;Connected to an open source project;Other:,Brazil,BRL	Brazilian real,37200.0,C#;C++;HTML/CSS;JavaScript;Kotlin;SQL;TypeScript,C#;Elixir;Kotlin;Rust;SQL,C#;Kotlin;SQL,Microsoft SQL Server;PostgreSQL,Microsoft SQL Server;PostgreSQL,Microsoft SQL Server;PostgreSQL,Microsoft Azure,Microsoft Azure,Microsoft Azure,ASP.NET;jQuery;Svelte,ASP.NET;Htmx;jQuery;Phoenix;Svelte,ASP.NET;jQuery;Svelte,CMake;GNU GCC,GNU GCC,GNU GCC,.NET Framework (1.0 - 4.8),.NET Framework (1.0 - 4.8),.NET Framework (1.0 - 4.8),Chocolatey;Gradle;npm;pnpm;Visual Studio Solution;Vite,Chocolatey;pnpm;Vite,Chocolatey;pnpm;Vite,CLion;DataGrip;IntelliJ IDEA;Neovim;Rider;Visual Studio;WebStorm,CLion;DataGrip;IntelliJ IDEA;Neovim;Rider;WebStorm,CLion;DataGrip;IntelliJ IDEA;Neovim;Rider;WebStorm,Other (please specify):,Windows,Azure Devops;Microsoft Planner;Obsidian,Azure Devops;Obsidian,Azure Devops;Obsidian,Discord;Microsoft Teams;Whatsapp,Discord;Microsoft Teams;Whatsapp,Discord;Microsoft Teams;Whatsapp,Visual Studio Intellicode,Visual Studio Intellicode,Visual Studio Intellicode,Stack Overflow;Stack Exchange,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Learning new-to-me technology/techniques,"No, not at all","No, and I don't plan to",,,,,,,,,,,,,,,,Yes,Individual contributor,3.0,Agree,Strongly disagree,Agree,Disagree,Agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,1-2 times a week,10+ times a week,Never,60-120 minutes a day,60-120 minutes a day,Amount of technical debt,None of these,Cloud only (single or multi-cloud),A coworker,Computer Systems Design and Services,5.0,0.0,10.0,20.0,20.0,15.0,20.0,10.0,0.0,Appropriate in length,Easy,6937.0,9.0
1618,1619,I am a developer by profession,25-34 years old,"Employed, full-time",In-person,Apples,Hobby;Contribute to open-source projects,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;Colleague;On the job training;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc)",Technical documentation;Written Tutorials;Social Media;How-to videos;Interactive tutorial,API document(s) and/or SDK document(s);User guides or README files found in the source repository;First-party knowledge base;Traditional public search engine;Other (please specify):,15,7,"Developer, game or graphics",20 to 99 employees,I have a great deal of influence,Start a free trial;Ask developers I know/work with;Research companies that have advertised on sites I visit,Is ready-to-go but also customizable for growth and targeted use cases,APIs;Integrated developer community;Reputation for quality and excellence;Connected to an open source project,Germany,EUR European Euro,53000.0,Bash/Shell (all shells);C#;C++;HTML/CSS;JavaScript;PHP;PowerShell;SQL,C#;C++;PowerShell,C#;C++;PowerShell,MySQL;Redis,,,Cloudflare;Hetzner;Microsoft Azure,,,ASP.NET CORE;CodeIgniter;WordPress,ASP.NET CORE;WordPress,ASP.NET CORE;WordPress,MSVC,MSVC,MSVC,.NET (5+) ;.NET Framework (1.0 - 4.8);DirectX;OpenGL;Roslyn,.NET (5+) ;DirectX;Roslyn,.NET (5+) ;DirectX;Roslyn,MSBuild;NuGet;Unity 3D;Unreal Engine,Chocolatey;Godot;MSBuild;NuGet;Unity 3D;Unreal Engine,MSBuild;NuGet;Unity 3D;Unreal Engine,Android Studio;Notepad++;PhpStorm;Visual Studio;Visual Studio Code,Notepad++;Visual Studio;Visual Studio Code,Notepad++;Visual Studio;Visual Studio Code,Windows,Windows,GitHub Discussions;Miro,Confluence;GitHub Discussions;Jira;Miro;Obsidian,GitHub Discussions;Miro,Discord;Skype;Whatsapp;Zoom,Discord;Slack;Whatsapp,Discord;Whatsapp,Visual Studio Intellicode,Visual Studio Intellicode,Visual Studio Intellicode,Stack Overflow;Stack Exchange;Stack Overflow Blog or Podcast,Daily or almost daily,Yes,Daily or almost daily,Quickly finding code solutions;Showcase expertise with code solutions;Engage with community by commenting on questions and answers or voting on questions and answers,"Yes, definitely","No, and I don't plan to",,,,,,,,,,,,,,,,Yes,People manager,7.0,Agree,Disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Disagree,Agree,Strongly agree,Agree,1-2 times a week,10+ times a week,1-2 times a week,15-30 minutes a day,Less than 15 minutes a day,Amount of technical debt;Complexity of tech stack for build;Patching/updating core components;Reliability of tools/systems used in work,Automated testing;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;Innersource initiative,Hybrid (on-prem and cloud),A coworker,Software Development,20.0,0.0,0.0,40.0,10.0,10.0,10.0,0.0,10.0,Too short,Easy,56925.0,3.0
47069,47070,I am a developer by profession,35-44 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed","Hybrid (some remote, some in-person)",Apples,Bootstrapping a business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Very favorable,Increase productivity,Somewhat trust,Neither good or bad at handling complex tasks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50208,50209,I am a developer by profession,18-24 years old,"Employed, full-time;Student, full-time","Hybrid (some remote, some in-person)",Apples,School or academic work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","School (i.e., University, College, etc)",,,7,2,"Developer, back-end",I don’t know,I have little or no influence,,Is set up to be customized and needs to be engineered into a usable product,,Romania,RON	Romanian leu,,Java,Java,Java,Cloud Firestore;MySQL;Oracle,Cloud Firestore;MySQL;Oracle,Cloud Firestore;MySQL;Oracle,Firebase,Firebase,Firebase,Angular;Spring Boot,Angular;Spring Boot,Angular;Spring Boot,,,,Spring Framework,Spring Framework,Spring Framework,Docker;Maven (build tool);npm,Docker;Maven (build tool);npm,Docker;Maven (build tool);npm,IntelliJ IDEA,IntelliJ IDEA,IntelliJ IDEA,Windows,Red Hat,,,,Discord;Microsoft Teams,Discord;Microsoft Teams,Discord;Microsoft Teams,Bing AI;ChatGPT;GitHub Copilot,Bing AI;ChatGPT;GitHub Copilot,Bing AI;ChatGPT;GitHub Copilot,Stack Overflow,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Showcase expertise with code solutions;Learning new-to-me technology/techniques;Learning new-to-everyone technology/techniques,"No, not really",Yes,Favorable,Increase productivity;Greater efficiency;Speed up learning;Improve accuracy in coding,Somewhat trust,Bad at handling complex tasks,Debugging and getting help;Search for answers;Generating content or synthetic data,Project planning;Documenting code;Testing code;Committing and reviewing code,,Search for answers;Generating content or synthetic data,,Debugging and getting help,,,No,Circulating misinformation or disinformation,Other (please specify):,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,,
6949,6950,I am learning to code,35-44 years old,"Independent contractor, freelancer, or self-employed",In-person,Apples,Bootstrapping a business;School or academic work;Freelance/contract work,"Associate degree (A.A., A.S., etc.)",Books / Physical media;On the job training;Online Courses or Certification;Coding Bootcamp;Friend or family member,,,3,,Designer,,,,,,Australia,,,Solidity;TypeScript;Zephyr,,,Cloud Firestore;Dynamodb;Firebase Realtime Database;Firebird;H2;InfluxDB;Microsoft Access,Cockroachdb,,Alibaba Cloud;Amazon Web Services (AWS);Firebase;Google Cloud,,,AngularJS;CodeIgniter;Laravel;NestJS;Symfony,,,,,,Roslyn;Scikit-Learn;SwiftUI;TensorFlow;Tidyverse,,,Dagger;Google Test;Make;MSBuild,,,Code::Blocks;IPython;PhpStorm;WebStorm,Android Studio;BBEdit;CLion;DataGrip;Kate;PhpStorm;Visual Studio;VSCodium;Xcode,PhpStorm,AIX;Arch;Cygwin;Solaris,ChromeOS;Other Linux-based;Windows Subsystem for Linux (WSL),Airtable;Azure Devops;GitHub Discussions;Notion,Confluence;Obsidian;Smartsheet,,Coolfire Core;Discord;Matrix;Slack;Symphony;Telegram,Cisco Webex Teams;Google Meet;Slack;Zulip,Slack,Andi;AskCodi;Claude;Phind;Replit Ghostwriter;Snyk Code;Visual Studio Intellicode,Andi;AskCodi;Bing AI;Phind;Snyk Code;Whispr AI,Andi;AskCodi;Phind;Snyk Code,Stack Overflow,A few times per week,,,Finding reliable guidance from community-vetted answers;Showcase expertise with code solutions;Learning new-to-everyone technology/techniques,Neutral,Yes,Unsure,Increase productivity;Greater efficiency;Make workload more manageable,Somewhat trust,Neither good or bad at handling complex tasks,Learning about a codebase;Writing code;Debugging and getting help;Deployment and monitoring,Project planning;Committing and reviewing code;Search for answers;Generating content or synthetic data,,,,Debugging and getting help;Deployment and monitoring,Writing code,Learning about a codebase,No,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Biased results that do not represent diverse viewpoints;Imitating a person's likeness;Energy demand,"Don’t trust the output or answers;Lack of executive buy-in;Not everyone uses them;They create more work (more code/PRs to review, etc.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7158,7159,I am a developer by profession,45-54 years old,"Employed, full-time",Remote,Apples,Contribute to open-source projects,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;On the job training;Other online resources (e.g., videos, blogs, forum, online community)",Technical documentation;Written Tutorials,API document(s) and/or SDK document(s);Traditional public search engine,27,20,"Developer, back-end",20 to 99 employees,I have little or no influence,Start a free trial;Read ratings or reviews on third party sites like G2 Crowd,Is ready-to-go but also customizable for growth and targeted use cases,APIs;Reputation for quality and excellence;Frequent updates to features,Germany,EUR European Euro,61500.0,Clojure;Erlang;SQL,Clojure;Erlang;SQL,Clojure;Erlang;SQL,MariaDB;MySQL;PostgreSQL;SQLite,MariaDB;MySQL;PostgreSQL;SQLite,MariaDB;MySQL;PostgreSQL;SQLite,Heroku,Heroku,Heroku,,,,,,,,,,Ant;Make,Ant;Make,Ant;Make,IntelliJ IDEA;Vim;Visual Studio Code,IntelliJ IDEA;Vim;Visual Studio Code,IntelliJ IDEA;Vim;Visual Studio Code,Ubuntu,Ubuntu,,,,Google Chat;Google Meet;Zoom,Google Chat;Google Meet;Zoom,Google Chat;Google Meet;Zoom,,,,Stack Overflow;Stack Exchange,Less than once per month or monthly,No,,Quickly finding code solutions;Finding reliable guidance from community-vetted answers,"No, not at all","No, and I don't plan to",,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Neither easy nor difficult,66055.0,
12825,12826,I am a developer by profession,25-34 years old,"Employed, full-time",In-person,Apples,Hobby;Contribute to open-source projects,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;School (i.e., University, College, etc)",,,15,11,Data engineer,"10,000 or more employees",I have a great deal of influence,Ask developers I know/work with,Out-of-the-box is ready to go with little need for customization,APIs;Customization,Japan,JPY	Japanese yen,1200000.0,C#;Elixir;F#;Go;OCaml;Python;Rust;Scala;Swift;Zig,Elixir;F#;Java;Kotlin;Rust;Scala;Swift,Elixir;F#;Rust;Scala;Swift,BigQuery;Clickhouse;Redis,BigQuery;Clickhouse;Datomic;Redis,BigQuery;Clickhouse;Redis,Google Cloud,Google Cloud,Google Cloud,ASP.NET;FastAPI,ASP.NET,ASP.NET,CMake;Cargo,Cargo,Cargo,.NET (5+) ;Pandas,.NET (5+) ,.NET (5+) ,Bun;Homebrew;Pip,Homebrew,Homebrew,Helix;IntelliJ IDEA;Neovim;Visual Studio Code,Helix;IntelliJ IDEA;Neovim,Helix;IntelliJ IDEA;Neovim,MacOS,MacOS,Confluence;Jira,,,Discord;Microsoft Teams,Discord,Discord,Bing AI;ChatGPT;Claude;GitHub Copilot;Google Gemini;Quora Poe,Quora Poe,Quora Poe,Stack Overflow,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,Quickly finding code solutions;Learning new-to-everyone technology/techniques,"No, not really",Yes,Favorable,Greater efficiency,Somewhat trust,Bad at handling complex tasks,Writing code;Documenting code;Testing code;Search for answers;Generating content or synthetic data,Learning about a codebase;Committing and reviewing code,Debugging and getting help;Deployment and monitoring;Predictive analytics,,Writing code,Documenting code;Testing code;Search for answers;Generating content or synthetic data,,,No,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Biased results that do not represent diverse viewpoints;Energy demand,"AI tools lack context of codebase,  internal architecture, and/or company knowledge;Lack of executive buy-in;They create more work (more code/PRs to review, etc.)",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Neither easy nor difficult,7637.0,
